Teks,Klasifikasi
"SANGAT SETUJU, ini salah satu jalan pemerintah untuk melindungi produk lokal tetap berjalan. harga tiktok shop memang sangat murah, tp UMKM indonesia jadi tidak berjalan sebagaimana semestinya.",Positif
"Jujur kalo saya setuju banget, karena banyak pedagang2 yang jualanya sepi dampak dari tiktok shop,,",Positif
Sangat setuju utamakan umkm negeri sendiri .. tiktok shop ngeri semoga pemerintah segera ambil sikap tegas untuk kebaikan semua,Positif
Tindakan yg tepat...tiktok telah membunuh UMKM kita,Positif
"Bener banget, sistem penjualan harus di atur menurut fungsinya masing - masing, jangan mentang mentang ada platform digital",Positif
"Pemerintah hanya mementingkan orang tanah abang aja,yang lain tidak di pentingkan 😂apakah itu di namakan adil😂",Negatif
"Pedagang UMKM nya aja dungu , harusnya lebih pintar dikala jaman semakin modern kojul lu semua pedagang UMKM gaptek. Wkwkwkkw",Negatif
bukan Solusi yang tepat bukan TikTok Shop dilarang karena sudah terbukti bantu sangat banyak UMKM maju.,Negatif
EMANG KEPUTUSAN TIDAK MASUK AKAL.. ITU PEDAGANG OFFLINE tidak MAU MENGIKUTI PERUBAHAN JAMAN AJA.  KAGA NGARUH UMKM DI TIKTOK SHOP JG BNYK UMKM KALI..  ANEH KEBIJAKAN PEMERINTAH,Negatif
"saya juga tidak setuju,tiktok shop ditutup....enakan belanja online,tinggal nunggu dirumah",Negatif
