,slang,formal,
0,anakjakartaasikasik,anak jakarta asyik asyik,
1,pakcikdahtua,pak cik sudah tua,
2,pakcikmudalagi,pak cik muda lagi,
3,t3tapjokowi,tetap jokowi,
4,3x,tiga kali,
5,aamiin,amin,
6,aamiinn,amin,
7,aamin,amin,
8,aammiin,amin,
9,abis,habis,
10,abisin,habiskan,
11,acau,kacau,
12,achok,ahok,
13,ad,ada,
14,adek,adik,
15,adl,adalah,
16,adlah,adalah,
17,adlh,adalah,
18,ado,ada,
19,aduhh,aduh,
20,aer,air,
21,afdol,afdal,
22,agamaataualqur,agama alquran,
23,agm,agama,
24,agma,agama,
25,ahaha,haha,
26,ahahaha,haha,
27,ahehehehe,hehe,
28,ahir,akhir,
29,ahirnya,akhirnya,
30,ahk,ahok,
31,ahlamdulillah,alhamdulillah,
32,ahli2,para ahli,
33,ahlusunnah,ahlus sunah,
34,aing,aku,
35,airmata,air mata,
36,aiskrim,es krim,
37,aj,saja,
38,aja,saja,
39,ajaa,saja,
40,ajah,saja,
41,ajalah,sajalah,
42,aje,saja,
43,ajg,anjing,
44,ajh,saja,
45,ajib,hebat,
46,ajj,saja,
47,ak,aku,
48,akalakalan,akal akalan,
49,akalakaln,akal akalan,
50,akankena,akan kena,
51,akherat,akhirat,
52,akhi,saudara,
53,akhirny,akhirnya,
54,akhirnyamush,akhirnya musuh,
55,akirnya,akhirnya,
56,akn,akan,
57,akoh,aku,
58,aksiaksi1120aksi112020aksi1120,aksi aksi,
59,akumuslim,aku muslim,
60,akuwa,aqua,
61,alahuakbar,allahu akbar,
62,alallohu,alallahu,
63,alesan,alasan,
64,alhamdulilah,alhamdulillah,
65,alhamdulillaah,alhamdulillah,
66,alhamdullilah,alhamdulillah,
67,alhmdllh,alhamdulillah,
68,allahuakbar,allahu akbar,
69,allahughayatuna,allahu ghayatuna,
70,alloh,allah,
71,allohu,allahu,
72,alqur,alquran,
73,ama,sama,
74,amaca,ah masa,
75,amajing,luar biasa,
76,amcaman,ancaman,
77,amiin,amin,
78,aminn,amin,
79,ampe,sampai,
80,amriki,amerika,
81,amuh,kamu,
82,ana,saya,
83,anbiarkekinian,biar kekinian,
84,ancen,memang,
